id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
3057,2419,2023-02-10,Question Hour,Question Hour,28 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1561-10-02-2023.mp4?source=membersrsmedia
3058,2419,2023-02-10,Question Hour ..,Question Hour,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1566-10-02-2023.mp4?source=membersrsmedia
3059,2419,2023-02-10,Discussion on Private Members Resolution in Rajya Sabha,Private Member's Resolution,480 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1573-10-02-2023.mp4?source=membersrsmedia
3060,2419,2023-02-09,Question Hour,Question Hour,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1505-09-02-2023.mp4?source=membersrsmedia
3061,2419,2022-12-22,Question Hour,Question Hour,20 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1144-22-12-2022.mp4?source=membersrsmedia
3062,2419,2022-12-21,Question Hour,Question Hour,12 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1016-21-12-2022.mp4?source=membersrsmedia
3063,2419,2022-12-20,"The Appropriation Bill (No 5), 2022 and Appropriation (No 4) Bill, 2022",Government Bills,203 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video936-20-12-2022.mp4?source=membersrsmedia
3064,2419,2022-12-20,Special Mention,Special Mention,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video957-20-12-2022.mp4?source=membersrsmedia
3065,2419,2022-12-16,Zero Hour,Special Mention,28 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video770-16-12-2022.mp4?source=membersrsmedia
3066,2419,2022-12-16,Private members bill,Private Member's Bill,876 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1173-16-12-2022.mp4?source=membersrsmedia
3067,2419,2022-12-15,Question Hour,Question Hour,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video659-15-12-2022.mp4?source=membersrsmedia
3068,2419,2022-12-14,The New Delhi International Arbitrations Centre (Amendment) Bill 2020,Government Bills,187 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video611-14-12-2022.mp4?source=membersrsmedia
3069,2419,2022-12-09,Special Mention,Special Mention,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video334-09-12-2022.mp4?source=membersrsmedia
3070,2419,2022-12-08,Questions Hour,Question Hour,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video200-08-12-2022.mp4?source=membersrsmedia
3071,2419,2022-12-08,The Wild Life (Protection) Amendment Bill 2022,Government Bills,216 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video215-08-12-2022.mp4?source=membersrsmedia
3072,2419,2022-12-07,Special Mention,Special Mention,161 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video166-07-12-2022.mp4?source=membersrsmedia
3073,2419,2022-07-26,"Prohibition of Unlawful Activities Amendment, Bill 2022",Government Bills,105 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video75-26-07-2022.mp4?source=membersrsmedia
3074,2419,2022-07-26,The Weapons of Mass Destruction and Their Delivery Systems (Prohibition of Unlawful Activities) Amendment Bill 2022.,Government Bills,105 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1333-26-07-2022.mp4?source=membersrsmedia
3075,2419,2022-07-22,Private Members Bill  - The Right to Health Bill 2022,Private Member's Bill,344 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1347-22-07-2022.mp4?source=membersrsmedia
3076,2419,2022-07-22,Private Members Business,Private Member's Bill,344 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video58-22-07-2022.mp4?source=membersrsmedia
3077,2420,2024-07-02,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,96 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4426-07-02-2024.mp4?source=membersrsmedia
3078,2420,2024-02-10,Short Duration Discussion on Shree Ram Mandir ke Etihasik Nirman aur Pran Pratishta,Business of House,104 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4318-02-10-2024.mp4?source=membersrsmedia
