id,srno,eventDate,subject_title,debateType,sizeOfVideo,videoUrl
6399,2515,2022-12-20,"The Appropriation Bill (No 5), 2022 and Appropriation (No 4) Bill, 2022",Government Bills,87 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video937-20-12-2022.mp4?source=membersrsmedia
6400,2515,2022-12-19,Question Hour,Question Hour,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video806-19-12-2022.mp4?source=membersrsmedia
6401,2515,2022-12-13,Special Mention,Special Mention,35 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video517-13-12-2022.mp4?source=membersrsmedia
6402,2515,2022-12-08,Matter raised with the permission of the Chair,Special Mention,26 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video184-08-12-2022.mp4?source=membersrsmedia
6403,2515,2022-12-07,Special Mention,Special Mention,43 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video168-07-12-2022.mp4?source=membersrsmedia
6404,2515,2022-08-08,"Central Universities Amendment Bill, 2022",Government Bills,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video16-08-08-2022.mp4?source=membersrsmedia
6405,2515,2022-08-08,The Central Universities (Amendment) Bill 2022,Government Bills,52 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1317-08-08-2022.mp4?source=membersrsmedia
6406,2515,2022-08-05,Private Members Bill,Private Member's Bill,87 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1305-05-08-2022.mp4?source=membersrsmedia
6407,2516,2025-03-28,Special Mentions,Special Mention,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7581-03-28-2025.mp4?source=membersrsmedia
6408,2516,2025-02-13,Question Hour,Question Hour,66 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6742-02-13-2025.mp4?source=membersrsmedia
6409,2516,2025-02-06,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,212 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6414-02-06-2025.mp4?source=membersrsmedia
6410,2516,2025-02-04,Birthday Greeting,Announcement by Chair,31 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6258-02-04-2025.mp4?source=membersrsmedia
6411,2516,2024-12-19,Submission by members,Submission by members,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6184-12-19-2024.mp4?source=membersrsmedia
6412,2516,2024-08-06,Special Mention,Special Mention,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5416-08-06-2024.mp4?source=membersrsmedia
6413,2516,2024-08-01,Question hour,Question Hour,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5136-08-01-2024.mp4?source=membersrsmedia
6414,2516,2024-08-01,Demands for grants (Agriculture and Farmers Welfare),Union Budget,105 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5182-08-01-2024.mp4?source=membersrsmedia
6415,2516,2024-02-09,Question Hour,Question Hour,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4223-02-09-2024.mp4?source=membersrsmedia
6416,2516,2024-02-05,Birthday Greetings,Announcement by Chair,89 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3815-02-05-2024.mp4?source=membersrsmedia
6417,2516,2024-02-05,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,148 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3881-02-05-2024.mp4?source=membersrsmedia
6418,2516,2023-12-21,"The Bharatiya Nyaya Sanhita, 2023 - The Bharatiya Nagarik Suraksha Sanhita, 2023 - The Bharatiya Sakshya Bill, 2023",Government Bills,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3684-12-21-2023.mp4?source=membersrsmedia
6419,2516,2023-12-18,"The Government of Union Territories (Amendment) Bill, 2023 and The Jammu & Kashmir Reorganization (Second Amendment)  Bill, 2023",Government Bills,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3470-12-18-2023.mp4?source=membersrsmedia
6420,2516,2023-12-05,Question and its reply,Question Hour,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2839-12-05-2023.mp4?source=membersrsmedia
6421,2516,2023-09-21,"The Constitution (One Hundred and Twenty Eighth Amendment) BIll, 2023",Government Bills,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2708-09-21-2023.mp4?source=membersrsmedia
6422,2516,2023-08-09,"Passing the The Digital Personal Data Protection Bill, 2023",Government Bills,206 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2428-09-08-2023.mp4?source=membersrsmedia
6423,2516,2023-08-07,Point of Order,Government Bills,5 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2276-07-08-2023.mp4?source=membersrsmedia
6424,2516,2023-02-10,Question Hour,Question Hour,15 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1550-10-02-2023.mp4?source=membersrsmedia
6425,2516,2023-02-08,Discussion on Motion of Thanks to the Presidents Address.,Motion of thanks to the President's Address,302 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1626-08-02-2023.mp4?source=membersrsmedia
6426,2516,2022-12-21,Special Mention,Special Mention,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1068-21-12-2022.mp4?source=membersrsmedia
6427,2516,2022-12-16,Parliamentary Question,Question Hour,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video736-16-12-2022.mp4?source=membersrsmedia
6428,2516,2022-12-13,Papers laid on the Table,Papers laid on the Table,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video447-13-12-2022.mp4?source=membersrsmedia
6429,2516,2022-08-04,The Family Court (Amendment) Bill 2022,Government Bills,65 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1289-04-08-2022.mp4?source=membersrsmedia
6430,2516,2022-08-03,The National Anti-Doping Bill 2022,Government Bills,101 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1280-03-08-2022.mp4?source=membersrsmedia
6431,2518,2025-12-18,Matters raised with the permission of the Chair 2,Special Mention,48 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9971-12-18-2025.mp4?source=membersrsmedia
6432,2518,2025-12-18,Matters raised with the permission of the Chair 3,Special Mention,48 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video10003-12-18-2025.mp4?source=membersrsmedia
6433,2518,2025-12-17,Discussion on The Repealing and Amending Bill 2025,Government Bills,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9689-12-17-2025.mp4?source=membersrsmedia
6434,2518,2025-12-17,"The Sabka Bima Sabki Raksha Amendment of Insurance Laws Bill, 2025",Government Bills,86 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9984-12-17-2025.mp4?source=membersrsmedia
6435,2518,2025-12-08,Discussion on The Health Security se National Security Cess Bill 2025,Government Bills,318 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9013-12-08-2025.mp4?source=membersrsmedia
6436,2518,2025-12-05,"Moved for leave to introduce The Right to Health Care Services Bill, 2025",Private Member's Bill,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8923-12-05-2025.mp4?source=membersrsmedia
6437,2518,2025-12-05,Special Mention,Special Mention,105 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8963-12-05-2025.mp4?source=membersrsmedia
6438,2518,2025-12-04,Discussion on The Central Excise Amendment Bill 2025,Government Bills,127 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8848-12-04-2025.mp4?source=membersrsmedia
6439,2518,2025-12-03,Special mention,Special Mention,133 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8716-12-03-2025.mp4?source=membersrsmedia
6440,2518,2025-12-02,Special Mention,Special Mention,66 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8706-12-02-2025.mp4?source=membersrsmedia
6441,2518,2025-12-01,Felicitations to the Honourable Chairman,Business of House,161 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8591-12-01-2025.mp4?source=membersrsmedia
6442,2518,2025-08-20,Low speed and limited coverage of 5G Services in India,Special Mention,107 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8512-08-20-2025.mp4?source=membersrsmedia
6443,2518,2025-08-01,Matters raised with the permission of the Chair,Special Mention,62 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video8150-08-01-2025.mp4?source=membersrsmedia
6444,2518,2025-07-21,Direct International flight from Patna airport,Question Hour,114 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7880-07-21-2025.mp4?source=membersrsmedia
6445,2518,2025-07-21,Discussion on The Bills of Lading Bill 2025,Government Bills,664 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7910-07-21-2025.mp4?source=membersrsmedia
6446,2518,2025-04-01,Disparity in healthcare funding across States,Question Hour,144 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7609-04-01-2025.mp4?source=membersrsmedia
6447,2518,2025-04-01,"Discussion on the ""Tribhuvan"" Sahkari University Bill, 2025",Government Bills,123 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7638-04-01-2025.mp4?source=membersrsmedia
6448,2518,2025-03-25,Question Hour,Question Hour,39 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7330-03-25-2025.mp4?source=membersrsmedia
6449,2518,2025-03-25,"Discussion on The Disaster Management (Amendment) Bill, 2024",Government Bills,79 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video7356-03-25-2025.mp4?source=membersrsmedia
6450,2518,2025-03-17,Matters raised  with the permission of the Chair,Special Mention,51 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6999-03-17-2025.mp4?source=membersrsmedia
6451,2518,2025-03-12,DISCUSSION ON THE WORKING OF THE MINISTRY OF RAILWAYS,Union Budget,189 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6965-03-12-2025.mp4?source=membersrsmedia
6452,2518,2025-03-10,Matters raised with the permission of Chair,Special Mention,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6767-03-10-2025.mp4?source=membersrsmedia
6453,2518,2025-02-07,Private Members Bill,Private Member's Bill,30 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6454-02-07-2025.mp4?source=membersrsmedia
6454,2518,2025-02-04,Need for Insurance Sector for Fairness and Accessibility,Special Mention,50 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6263-02-04-2025.mp4?source=membersrsmedia
6455,2518,2025-02-04,Question Hour,Question Hour,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6289-02-04-2025.mp4?source=membersrsmedia
6456,2518,2025-02-04,Motion of thanks to the Presidents Address,Motion of thanks to the President's Address,95 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6320-02-04-2025.mp4?source=membersrsmedia
6457,2518,2024-12-17,Discussion on 75th years of Constitution of India,Business of House,102 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6096-12-17-2024.mp4?source=membersrsmedia
6458,2518,2024-12-06,Question hour,Question Hour,39 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5954-12-06-2024.mp4?source=membersrsmedia
6459,2518,2024-12-04,Matters raised with the permission of the Chair,Special Mention,77 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5774-12-04-2024.mp4?source=membersrsmedia
6460,2518,2024-12-04,Special Mention,Special Mention,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5839-12-04-2024.mp4?source=membersrsmedia
6461,2518,2024-08-06,Question Hour,Question Hour,141 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5347-08-06-2024.mp4?source=membersrsmedia
6462,2518,2024-08-05,Urban Planning Strategy,Question Hour,201 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5261-08-05-2024.mp4?source=membersrsmedia
6463,2518,2024-08-01,Demands for grants (Agriculture and Farmers Welfare),Union Budget,194 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5169-08-01-2024.mp4?source=membersrsmedia
6464,2518,2024-07-24,Matters raised with the permission by the chair,Special Mention,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4563-07-24-2024.mp4?source=membersrsmedia
6465,2518,2024-07-24,Special Mention,Special Mention,40 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4625-07-24-2024.mp4?source=membersrsmedia
6466,2518,2024-02-10,Short Duration Discussion - White Paper of the Indian Economy,Business of House,108 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4294-02-10-2024.mp4?source=membersrsmedia
6467,2518,2024-02-10,Short Duration Discussion on Shree Ram Mandir ke Etihasik Nirman aur Pran Pratishta,Business of House,49 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4319-02-10-2024.mp4?source=membersrsmedia
6468,2518,2024-02-09,Question Hour,Question Hour,38 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4218-02-09-2024.mp4?source=membersrsmedia
6469,2518,2024-02-09,"The Jammu and Kashmir Local Bodies Laws (Amendment) Bill, 2024 - The Constitution (Jammu and Kashmir) Scheduled Castes Order (Amendment) Bill, 2024 and The Constitution (Jammu and Kashmir) Scheduled Tribes Order (Amendment) Bill, 2024",Government Bills,126 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4228-02-09-2024.mp4?source=membersrsmedia
6470,2518,2024-02-08,"The Appropriation (Vote on Account) Bill, 2024 -The Appropriation Bill, 2024 - The Jammu and Kashmir Appropriation (No.2) Bill, 2024 - The Jammu and Kashmir Appropriation Bill, 2024 and The Finance Bill, 2024",Union Budget,97 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4174-02-08-2024.mp4?source=membersrsmedia
6471,2518,2024-02-07,REPORTS OF THE DEPARTMENT-RELATED PARLIAMENTARY STANDING COMMITTEE ON EXTERNAL AFFAIRS LAID ON THE TABLE,Papers laid on the Table,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4000-02-07-2024.mp4?source=membersrsmedia
6472,2518,2024-02-07,Question Hour,Question Hour,149 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4021-02-07-2024.mp4?source=membersrsmedia
6473,2518,2024-02-07,"General Discussion on The Interim Union Budget, 2024-25 and General Discussion on The Interim Budget of Union Territory of Jammu and Kashmir, 2024-25",Union Budget,149 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4066-02-07-2024.mp4?source=membersrsmedia
6474,2518,2024-02-06,STATEMENTS OF THE DEPARTMENT-RELATED PARLIAMENTARY STANDING COMMITTEE ON EXTERNAL AFFAIRS LAID ON THE TABLE,Papers laid on the Table,33 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3891-02-06-2024.mp4?source=membersrsmedia
6475,2518,2024-02-06,Question Hour,Question Hour,54 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3914-02-06-2024.mp4?source=membersrsmedia
6476,2518,2024-02-06,"The Constitution (Scheduled Tribes) Order (Amendment) Bill, 2024",Government Bills,66 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3942-02-06-2024.mp4?source=membersrsmedia
6477,2518,2024-02-05,Papers laid on the Table,Papers laid on the Table,10 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3818-02-05-2024.mp4?source=membersrsmedia
6478,2518,2024-02-05,Matter raised with the permission of the Chair,Special Mention,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3832-02-05-2024.mp4?source=membersrsmedia
6479,2518,2024-02-02,Matter raised with the permission of the Chair,Special Mention,53 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3726-02-02-2024.mp4?source=membersrsmedia
6480,2518,2024-02-02,Question Hour,Question Hour,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3764-02-02-2024.mp4?source=membersrsmedia
6481,2518,2023-12-11,Matter raised with the permission of the Chair,Special Mention,45 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3205-12-11-2023.mp4?source=membersrsmedia
6482,2518,2023-12-11,Question Hour,Question Hour,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3217-12-11-2023.mp4?source=membersrsmedia
6483,2518,2023-12-11,Question Hour  - II,Question Hour,19 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3223-12-11-2023.mp4?source=membersrsmedia
6484,2518,2023-12-08,Private Members Bill,Private Member's Bill,24 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3129-12-08-2023.mp4?source=membersrsmedia
6485,2518,2023-12-07,Matter raised with the permission of the Chair,Special Mention,48 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2987-12-07-2023.mp4?source=membersrsmedia
6486,2518,2023-12-06,Report laid on the Table,Papers laid on the Table,13 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2896-12-06-2023.mp4?source=membersrsmedia
6487,2518,2023-12-05,Short Duration Discussion on the Economic Situation in the Country,Discussion Under Rule 193,157 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2855-12-05-2023.mp4?source=membersrsmedia
6488,2518,2023-09-20,Discussion on India s Glorious Space Journey Marked by Successful Soft Landing of Chandrayaan - 3,Discussion Under Rule 193,110 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2586-20-09-2023.mp4?source=membersrsmedia
6489,2518,2023-07-26,Special Mention,Special Mention,16 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1898-26-07-2023.mp4?source=membersrsmedia
6490,2518,2023-07-25,Report regarding Parliamentary Standing Committee on External Affairs laid on the Table,Papers laid on the Table,6 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1827-25-07-2023.mp4?source=membersrsmedia
6491,2518,2023-04-03,Papers laid on the Table,Papers laid on the Table,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1782-03-04-2023.mp4?source=membersrsmedia
6492,2518,2022-12-22,Papers laid on the Table,Papers laid on the Table,9 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1089-22-12-2022.mp4?source=membersrsmedia
6493,2518,2022-12-22,Question Hour,Question Hour,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1142-22-12-2022.mp4?source=membersrsmedia
6494,2518,2022-12-21,Question Hour,Question Hour,70 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1011-21-12-2022.mp4?source=membersrsmedia
6495,2518,2022-12-20,Special Mention,Special Mention,29 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video849-20-12-2022.mp4?source=membersrsmedia
6496,2518,2022-12-12,Question Hour,Question Hour,42 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video388-12-12-2022.mp4?source=membersrsmedia
6497,2518,2022-08-05,Private Members Bill,Private Member's Bill,47 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video1309-05-08-2022.mp4?source=membersrsmedia
6498,2519,2025-02-07,Matters  raised with the permission of the Chair,Special Mention,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6436-02-07-2025.mp4?source=membersrsmedia
6499,2519,2025-02-07,Private Member Bill,Private Member's Bill,17 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6486-02-07-2025.mp4?source=membersrsmedia
6500,2519,2025-02-06,DISCUSSION ON MOTION OF THANKS ON THE PRESIDENT’S ADDRESS,Motion of thanks to the President's Address,81 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6385-02-06-2025.mp4?source=membersrsmedia
6501,2519,2025-02-06,DISCUSSION ON MOTION OF THANKS ON THE PRESIDENT’S ADDRESS  1,Motion of thanks to the President's Address,96 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6386-02-06-2025.mp4?source=membersrsmedia
6502,2519,2025-02-06,Motion of thanks to the Presidents Address - I,Motion of thanks to the President's Address,81 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6406-02-06-2025.mp4?source=membersrsmedia
6503,2519,2025-02-06,Motion of thanks to the Presidents Address - II,Motion of thanks to the President's Address,96 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6407-02-06-2025.mp4?source=membersrsmedia
6504,2519,2025-02-04,Question Hour,Question Hour,36 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6303-02-04-2025.mp4?source=membersrsmedia
6505,2519,2024-12-20,Reports laid on the Table,Papers laid on the Table,29 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video6190-12-20-2024.mp4?source=membersrsmedia
6506,2519,2024-12-03,Question Hour,Question Hour,27 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5716-12-03-2024.mp4?source=membersrsmedia
6507,2519,2024-12-03,Question Hour 1,Question Hour,36 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5717-12-03-2024.mp4?source=membersrsmedia
6508,2519,2024-08-05,Question Hour,Question Hour,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5268-08-05-2024.mp4?source=membersrsmedia
6509,2519,2024-08-05,Duty Free for fabrics from Bangladesh,Special Mention,37 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video5307-08-05-2024.mp4?source=membersrsmedia
6510,2519,2024-07-30,Question Hour,Question Hour,21 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4938-07-30-2024.mp4?source=membersrsmedia
6511,2519,2024-07-29,Matters raised with the permission of the Chair,Special Mention,487 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4807-07-29-2024.mp4?source=membersrsmedia
6512,2519,2024-07-24,Union Budget 2024 - 25,Union Budget,103 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4597-07-24-2024.mp4?source=membersrsmedia
6513,2519,2024-02-09,REPORTS OF THE DEPARTMENT-RELATED PARLIAMENTARY STANDING COMMITTEE ON HEALTH AND FAMILY WELFARE LAID ON THE TABLE,Papers laid on the Table,8 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4186-02-09-2024.mp4?source=membersrsmedia
6514,2519,2024-02-08,"The Appropriation (Vote on Account) Bill, 2024 -The Appropriation Bill, 2024 - The Jammu and Kashmir Appropriation (No.2) Bill, 2024 - The Jammu and Kashmir Appropriation Bill, 2024 and The Finance Bill, 2024",Union Budget,125 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4164-02-08-2024.mp4?source=membersrsmedia
6515,2519,2024-02-05,Matter raised with the permission of the Chair,Special Mention,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3828-02-05-2024.mp4?source=membersrsmedia
6516,2519,2023-12-13,Matters raised with the permission of the Chair,Special Mention,32 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3374-12-13-2023.mp4?source=membersrsmedia
6517,2519,2023-12-11,"The Jammu and Kashmir Reorganization (Amendment) Bill, 2023",Government Bills,89 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3231-12-11-2023.mp4?source=membersrsmedia
6518,2519,2023-12-08,Matter raised with the permission of the Chair,Special Mention,44 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video3073-12-08-2023.mp4?source=membersrsmedia
6519,2519,2023-12-04,"The Post Office Bill, 2023",Government Bills,71 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2780-12-04-2023.mp4?source=membersrsmedia
6520,2519,2023-09-18,Birthday Greetings.,Announcement by Chair,20 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video2525-18-09-2023.mp4?source=membersrsmedia
6521,2519,2022-12-19,Question Hour,Question Hour,55 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video793-19-12-2022.mp4?source=membersrsmedia
6522,2519,2022-12-14,Question Hour,Question Hour,34 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video556-14-12-2022.mp4?source=membersrsmedia
6523,2519,2022-12-12,Special Mention,Special Mention,25 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video428-12-12-2022.mp4?source=membersrsmedia
6524,2520,2025-12-09,Permission for Absent,Announcement by Chair,18 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video9083-12-09-2025.mp4?source=membersrsmedia
6525,2520,2024-07-26,Matters raised with the permission of the Chair,Special Mention,40 MB,https://sansad.in/getFile/AVDebates/AVRSDebatesClips/VideoGallery/Videos/video4742-07-26-2024.mp4?source=membersrsmedia
