id,srno,committeeName,status,house,Date
229,2526,"Joint Committee on the Multi-State Co-operative Societies (Amendment) Bill, 2022",Member,Lok Sabha,2022-12-29
230,2081,"Science and Technology, Environment, Forests and Climate Change",Member,Rajya Sabha,2025-09-26
231,2527,Industry,Member,Rajya Sabha,2025-09-26
232,2527,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
233,2527,"Joint Committee on the Jan Vishwas (Amendment of Provisions) Bill, 2022",Member,Lok Sabha,2022-12-22
234,2529,Defence,Member,Lok Sabha,2025-09-26
235,2528,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
236,2531,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
237,2531,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
238,2530,Health and Family Welfare,Member,Rajya Sabha,2025-09-26
239,2532,Rural Development and Panchayati Raj,Member,Lok Sabha,2025-09-26
240,2532,Joint Committee on Offices of Profit,Member,Lok Sabha,2024-10-08
241,2532,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
242,2534,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
243,2533,"Consumer Affairs, Food and Public Distribution",Member,Lok Sabha,2025-09-26
244,2533,Social Justice & Empowerment,Member,Lok Sabha,2025-09-26
245,2533,Welfare of Scheduled Castes and Scheduled Tribes,Member,Lok Sabha,2025-05-01
246,2535,Government Assurances,Member,Rajya Sabha,2024-10-22
247,2535,Housing and Urban Affairs,Member,Lok Sabha,2025-09-26
248,2535,"Joint Committee on the Forest (Conservation) Amendment Bill, 2023",Member,Lok Sabha,2023-03-29
249,2536,Subordinate Legislation,Member,Rajya Sabha,2024-10-22
250,2536,"Personnel, Public Grievances, Law and Justice",Member,Rajya Sabha,2025-09-26
251,2536,Committee on Welfare of Other Backward Classes,Member,Lok Sabha,2025-09-09
252,2536,JCCA and UTB,Member,Lok Sabha,2025-11-12
253,2537,Energy,Member,Lok Sabha,2025-09-26
254,2538,"Transport, Tourism and Culture",Member,Rajya Sabha,2025-09-26
255,2539,Government Assurances,Member,Rajya Sabha,2024-10-22
256,2539,Communications and Information Technology,Member,Lok Sabha,2025-09-26
257,2540,House Committee,Member,Rajya Sabha,2024-10-22
258,2540,"Joint Committee on the Constitution (One Hundred and Twenty-Ninth Amendment) Bill, 2024 and the Union Territories Laws (Amendment) Bill, 2024",Member,Lok Sabha,2024-12-23
259,2540,Petroleum & Natural Gas,Member,Lok Sabha,2025-09-26
