srno,member_name,party,state_ut,status,age,term
2136,"Faruque, Smt. Naznin",Indian National Congress,Assam,Former,71.0,1 (2010–2016)
2137,"Balagopal, Shri K.N.",Communist Party of India (Marxist),Kerala,Former,62.0,1 (2010–2016)
2138,"Sood, Smt. Bimla Kashyap",Bharatiya Janata Party,Himachal Pradesh,Former,83.0,1 (2010–2016)
2139,"Seema, Dr. T.N.",Communist Party of India (Marxist),Kerala,Former,62.0,1 (2010–2016)
2141,"Baidya, Smt. Jharna Das",Communist Party of India (Marxist),Tripura,Former,63.0,"2 (2010–2016, 2016–2022)"
2142,"Khanna, Shri Avinash Rai",Bharatiya Janata Party,Punjab,Former,65.0,1 (2010–2016)
2143,"Sudharani, Smt. Gundu",Telugu Desam Party,Telangana,Former,61.0,"2 (2010–2014, 2014–2016)"
2144,"Chowdary, Shri Y. S.",Bharatiya Janata Party,Andhra Pradesh,Former,64.0,"2 (2010–2016, 2016–2022)"
2145,"Ramalingam, Shri K.V.",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,69.0,1 (2010–2016)
2146,"Pandian, Shri Paul Manoj",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,54.0,1 (2010–2016)
2147,"Thangavelu, Shri S.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,71.0,1 (2010–2016)
2148,"Selvaganapathi, Shri T.M.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,66.0,1 (2010–2016)
2149,"Ramalingam, Dr. K.P.",Dravida Munnetra Kazhagam,Tamil Nadu,Former,71.0,1 (2010–2016)
2150,"Sadho, Dr. Vijaylaxmi",Indian National Congress,Madhya Pradesh,Former,70.0,1 (2010–2016)
2151,"Manjunatha, Shri Aayanur",Bharatiya Janata Party,Karnataka,Former,70.0,1 (2010–2016)
2152,"Behera, Shri Shashi Bhusan",Biju Janata Dal,Odisha,Former,72.0,1 (2010–2016)
2153,"Parida, Shri Baishnab",Biju Janata Dal,Odisha,Former,84.0,1 (2010–2016)
2154,"Jain, Shri Ishwarlal Shankarlal",Nationalist Congress Party,Maharashtra,Former,79.0,1 (2010–2016)
2155,"Pande, Shri Avinash",Indian National Congress,Maharashtra,Former,67.0,1 (2010–2016)
2157,"Ashk Ali Tak, Shri",Indian National Congress,Rajasthan,Former,67.0,1 (2010–2016)
2158,"Badnore, Shri V.P. Singh",Bharatiya Janata Party,Rajasthan,Former,77.0,1 (2010–2016)
2159,"Kishore, Shri Jugul",Bahujan Samaj Party,Uttar Pradesh,Former,66.0,1 (2010–2016)
2160,"Kashyap, Shri Narendra Kumar",Bahujan Samaj Party,Uttar Pradesh,Former,63.0,1 (2010–2016)
2161,"Baghel, Prof. S.P.Singh",Bahujan Samaj Party,Uttar Pradesh,Former,65.0,1 (2010–2016)
2162,"Ansari, Shri Salim",Bahujan Samaj Party,Uttar Pradesh,Former,63.0,1 (2010–2016)
2163,"Singh, Shri Mohan",Samajwadi Party,Uttar Pradesh,Former,80.0,1 (2010–2016)
2165,"Saini, Shri Rajpal Singh",Bahujan Samaj Party,Uttar Pradesh,Former,73.0,1 (2010–2016)
2166,"Vijay, Shri Tarun",Bharatiya Janata Party,Uttarakhand,Former,69.0,1 (2010–2016)
2167,"Singh, Shri Ram Chandra Prasad",Janata Dal (United),Bihar,Former,67.0,"2 (2010–2016, 2016–2022)"
2168,"Kushwaha, Shri Upendra",Rashtriya Lok Morcha,Bihar,Sitting,65.0,"2 (2010–2016, 2024–2026)"
2169,"Paswan, Shri Ram Vilas",Lok Janasakti Party,Bihar,Former,79.0,"2 (2010–2016, 2019–2024)"
2170,"Yadav, Shri Ram Kripal",Bharatiya Janata Party,Bihar,Former,68.0,1 (2010–2016)
2171,"Singh, Dr. Kanwar Deep",All India Trinamool Congress,West Bengal,Former,64.0,"2 (2010–2016, 2014–2020)"
2172,"Kureel, Shri Pramod",Bahujan Samaj Party,Uttar Pradesh,Former,59.0,1 (2010–2012)
2173,"Goyal, Shri Piyush",Bharatiya Janata Party,Maharashtra,Former,61.0,"3 (2010–2016, 2016–2022, 2022–2028)"
2174,"Parjapati, Shri Ranbir Singh",Indian National Lok Dal,Haryana,Former,61.0,1 (2010–2016)
2175,"Singh, Chaudhary Birender",Bharatiya Janata Party,Haryana,Former,79.0,"3 (2010–2016, 2014–2016, 2016–2022)"
2176,"Jain, Shri Meghraj",Bharatiya Janata Party,Madhya Pradesh,Former,82.0,"2 (2011–2012, 2014–2018)"
2177,"Bernard, Shri A. W. Rabi",All India Anna Dravida Munnetra Kazhagam,Tamil Nadu,Former,66.0,1 (2011–2016)
2178,"Dalwai, Shri Husain",Indian National Congress,Maharashtra,Former,82.0,"2 (2011–2014, 2014–2020)"
2179,"Pandya, Shri Dilipbhai",Bharatiya Janata Party,Gujarat,Former,81.0,1 (2011–2017)
2180,"Irani, Smt. Smriti Zubin",Bharatiya Janata Party,Gujarat,Former,49.0,"2 (2011–2017, 2017–2023)"
2181,"O' Brien, Shri Derek",All India Trinamool Congress,West Bengal,Sitting,64.0,"3 (2011–2017, 2017–2023, 2023–2029)"
2182,"Bandyopadhyay, Shri D.",All India Trinamool Congress,West Bengal,Former,94.0,1 (2011–2017)
2183,"Bhattacharya, Shri P.",Indian National Congress,West Bengal,Former,81.0,"2 (2011–2017, 2017–2023)"
2184,"Ray, Shri Sukhendu Sekhar",All India Trinamool Congress,West Bengal,Sitting,76.0,"3 (2011–2017, 2017–2023, 2023–2029)"
2185,"Bose, Shri Srinjoy",All India Trinamool Congress,West Bengal,Former,49.0,1 (2011–2017)
2186,"Bora, Shri Pankaj",Indian National Congress,Assam,Former,79.0,1 (2011–2016)
2187,"Lachungpa, Shri Hishey",Sikkim Democratic Front,Sikkim,Former,58.0,"2 (2012–2018, 2018–2024)"
2189,"Rapolu, Shri Ananda Bhaskar",Indian National Congress,Telangana,Former,62.0,"2 (2012–2014, 2014–2018)"
2194,"Chiranjeevi, Dr. K.",Indian National Congress,Andhra Pradesh,Former,70.0,1 (2012–2018)
2196,"Reddy, Shri Palvai Govardhan",Indian National Congress,Telangana,Former,89.0,"2 (2012–2014, 2014–2018)"
2197,"Gupta, Shri Vivek",All India Trinamool Congress,West Bengal,Former,50.0,1 (2012–2018)
2198,"Haque, Shri Mohammed Nadimul",All India Trinamool Congress,West Bengal,Sitting,56.0,"3 (2012–2018, 2018–2024, 2024–2030)"
2199,"Ghosh, Shri Kunal Kumar",All India Trinamool Congress,West Bengal,Former,57.0,1 (2012–2018)
2200,"Goud T., Shri Devender",Telugu Desam Party,Andhra Pradesh,Former,72.0,1 (2012–2018)
2201,"Mahra, Shri Mahendra Singh",Indian National Congress,Uttarakhand,Former,86.0,1 (2012–2018)
2202,"Ramesh, Dr. C.M.",Bharatiya Janata Party,Andhra Pradesh,Former,60.0,"3 (2012–2014, 2014–2018, 2018–2024)"
2203,"Pradhan, Shri Dharmendra",Bharatiya Janata Party,Madhya Pradesh,Former,56.0,"2 (2012–2018, 2018–2024)"
2204,"Nadda, Shri Jagat Prakash",Bharatiya Janata Party,Gujarat,Sitting,65.0,"3 (2012–2018, 2018–2024, 2024–2030)"
2205,"Vegad, Shri Shankarbhai N.",Bharatiya Janata Party,Gujarat,Former,70.0,1 (2012–2018)
2206,"Jangde, Dr. Bhushan Lal",Bharatiya Janata Party,Chhattisgarh,Former,82.0,1 (2012–2018)
2207,"Mandaviya, Dr. Mansukh",Bharatiya Janata Party,Gujarat,Former,53.0,"2 (2012–2018, 2018–2024)"
2208,"Patil, Shri Basawaraj",Bharatiya Janata Party,Karnataka,Former,81.0,1 (2012–2018)
2209,"Rangasayee Ramakrishna, Shri",Bharatiya Janata Party,Karnataka,Former,91.0,1 (2012–2018)
2210,"Chavan, Smt. Vandana",Nationalist Congress Party,Maharashtra,Former,64.0,"2 (2012–2018, 2018–2024)"
2211,"Tripathi, Shri D.P.",Nationalist Congress Party,Maharashtra,Former,73.0,1 (2012–2018)
2212,"Desai, Shri Anil",Shiv Sena,Maharashtra,Former,68.0,"2 (2012–2018, 2018–2024)"
2213,"Sancheti, Shri Ajay",Bharatiya Janata Party,Maharashtra,Former,60.0,1 (2012–2018)
2214,"Gehlot, Shri Thaawarchand",Bharatiya Janata Party,Madhya Pradesh,Former,77.0,"2 (2012–2018, 2018–2024)"
2215,"Kulaste, Shri Faggan Singh",Bharatiya Janata Party,Madhya Pradesh,Former,66.0,1 (2012–2018)
2217,"Nanda, Shri Kiranmay",Samajwadi Party,Uttar Pradesh,Former,81.0,1 (2012–2018)
2218,"Yadav, Shri Darshan Singh",Samajwadi Party,Uttar Pradesh,Former,81.0,1 (2012–2018)
